ActuatorSN,aps_strokeMax_um,sph_S2_OOVreg,sph_S2_gain,sph_S1_OOVreg,sph_S1_gain,sph_strokecenter_x_sensor_offset_lsb,OISX_pos_polynomial_cubic_offsetcorrected_C0,OISX_pos_polynomial_cubic_offsetcorrected_C1,OISX_pos_polynomial_cubic_offsetcorrected_C2,OISX_pos_polynomial_cubic_offsetcorrected_C3,sph_strokecenter_y_sensor_offset_lsb,OISY_pos_polynomial_cubic_offsetcorrected_C0,OISY_pos_polynomial_cubic_offsetcorrected_C1,OISY_pos_polynomial_cubic_offsetcorrected_C2,OISY_pos_polynomial_cubic_offsetcorrected_C3,AF_single_vcm_S1_AF_c0,AF_single_vcm_S1_AF_c1,AF_single_vcm_S1_AF_c2,AF_single_vcm_S2_AF_c0,AF_single_vcm_S2_AF_c1,AF_single_vcm_S2_AF_c2
UC4D275002JY00A5003+01DE04612+5,372.311615,85,42.294,87,42.294,190.9046789,8.88E-16,0.349399467,8.44E-05,2.72E-08,179.5136086,1.34E-14,0.34608453,8.31E-05,2.68E-08,105.5530003,-0.193504004,0.001719344,182.4001169,-0.038256694,0.001689422
UC4D275002JZ00A5003+01DE04613+5,370.988605,82,42.294,87,42.294,180.4407012,2.26E-14,0.363705907,9.15E-05,2.76E-08,189.3287616,1.52E-14,0.348017731,8.42E-05,2.52E-08,116.5478724,0.01820382,0.001710981,138.6866481,-0.027999997,0.001638277
UC4D275002K100A5003+01DE04615+5,366.9536,76,47.455,87,42.294,191.0380399,5.36E-15,0.350404015,8.43E-05,2.53E-08,190.0125332,-1.83E-14,0.348419051,8.81E-05,2.72E-08,100.5763759,-0.0854565,0.001748585,170.995032,0.003212855,0.001644688
UC4D2750022B00A5003+01DE04623+5,367.45215,88,39.928,93,39.928,183.8439639,-6.11E-16,0.358148543,8.89E-05,2.62E-08,197.5601934,-4.25E-15,0.345359489,8.72E-05,2.74E-08,100.0626532,0.129411836,0.001719633,174.6447042,0.090263753,0.001574097
UC4D2750022G00A5003+01DE04628+5,364.143715,84,39.928,86,42.294,180.1726891,-5.05E-15,0.376461901,9.65E-05,3.01E-08,187.1055966,1.90E-14,0.356505711,8.54E-05,2.49E-08,86.30019229,0.036087113,0.001726943,212.7986727,0.066470189,0.001536889
UC4D2750030P00A5003+01DE01303+5,371.779005,81,42.294,89,42.294,183.4846057,4.36E-15,0.3671644,9.35E-05,3.16E-08,193.9049017,-1.44E-14,0.339463049,7.92E-05,2.33E-08,107.110593,-0.039984067,0.001784915,92.18040439,0.044801654,0.0016315
UC4D2750030R00A5003+01DE01305+5,369.33793,82,42.294,81,44.8,183.7548069,-5.16E-15,0.363022978,8.93E-05,2.47E-08,187.3752516,-1.01E-14,0.355399224,8.74E-05,2.57E-08,132.910652,0.192541717,0.001619833,148.13661,-0.038203954,0.001668982
UC4D275002R200A5003+01DE00528+5,357.23064,78,44.8,78,47.455,187.0153929,6.38E-16,0.364357237,8.88E-05,2.51E-08,195.8436556,1.98E-14,0.348526701,8.22E-05,2.22E-08,141.5236099,0.030436907,0.001706677,159.3653248,0.059334262,0.001626417
UC4D275001J400A5003+01DE00512+5,365.74421,83,42.294,86,42.294,190.6223499,-1.44E-14,0.358507288,8.75E-05,2.50E-08,190.0921311,5.11E-15,0.354184646,8.84E-05,2.57E-08,143.3690773,-0.138816118,0.001698269,222.5377869,-0.083863336,0.001579191
UC4D275001WE00A5003+01DE05914+5,373.365265,81,44.8,78,44.8,197.8866029,-3.89E-16,0.348274636,8.13E-05,2.35E-08,175.989964,-1.25E-14,0.363137352,8.93E-05,2.81E-08,116.1933489,-0.212274091,0.001710878,165.510814,-0.155963987,0.001737818
