GlobalTime,time,station,site,moduleConfig,SWversion,lotNum,Barcode,UniqueID,ActuatorSN,sph_S1_OOVreg,sph_S2_OOVreg,sph_S1_gain,sph_S2_gain,sph_strokecenter_y_sensor_offset_lsb,sph_strokecenter_x_sensor_offset_lsb,AF_single_vcm_S1_AF_c0,AF_single_vcm_S1_AF_c1,AF_single_vcm_S1_AF_c2,AF_single_vcm_S2_AF_c0,AF_single_vcm_S2_AF_c1,AF_single_vcm_S2_AF_c2,OISY_pos_polynomial_cubic_offsetcorrected_C0,OISY_pos_polynomial_cubic_offsetcorrected_C1,OISY_pos_polynomial_cubic_offsetcorrected_C2,OISY_pos_polynomial_cubic_offsetcorrected_C3,OISX_pos_polynomial_cubic_offsetcorrected_C0,OISX_pos_polynomial_cubic_offsetcorrected_C1,OISX_pos_polynomial_cubic_offsetcorrected_C2,OISX_pos_polynomial_cubic_offsetcorrected_C3,aps_strokeMax_um,
T20230515192856,2023-05-15 19:29:26.206,CLT-00001T02,3,A3104,Mine_A_release_POR_inline_iclt_A3104_23050153.exe,GTSAA1BKD5E05A,LG5D1650008BVR31040+L1AE06127+0,0x0000001BAF12B592,LG5D1650008BVR31040+L1AE06127+0,83,80,42.293999999999997,44.799999999999997,175.822999492398,192.41405034571801,85.07363333434067,-0.080876635420891879,0.0015630207289290756,190.9789706076877,-0.077699136495783888,0.00160724736045658,1.9095836023552699e-14,0.36865471474071398,9.2014612036658405e-05,2.5082208155052802e-08,1.1549095013663201e-13,0.35705789921905501,8.4404960672539498e-05,2.2108723008469199e-08,383.81722214772299,
T20230515192814,2023-05-15 19:28:44.521,CLT-00001T02,3,A3104,Mine_A_release_POR_inline_iclt_A3104_23050153.exe,GTSAA1BKD5E05A,LG5D1650008FVR31040+L1AE06131+0,0x0000001B8F12F59A,LG5D1650008FVR31040+L1AE06131+0,82,81,42.293999999999997,42.293999999999997,177.980361868903,186.97695681061501,27.417799047994841,-0.11317425640127787,0.0014989534704082095,195.06912417500459,-0.021129683290202012,0.0015022159229722521,-6.8056671409522096e-14,0.37167093734604401,9.3849803243966297e-05,2.7363744181287402e-08,4.1133763062361999e-14,0.36964144692688899,9.0818977436150705e-05,2.4324032060473699e-08,386.78585261963701,
T20230515190847,2023-05-15 19:09:17.223,CLT-00001T03,5,A3104,Mine_A_release_POR_inline_iclt_A3104_23050153.exe,GTSAA1BKD5E05A,LG5D1650008NVR31040+L1AE02406+0,0x0000005E8E56C59A,LG5D1650008NVR31040+L1AE02406+0,80,83,44.799999999999997,42.293999999999997,173.86602609944501,193.167443057556,142.71141961024964,0.059011588821718655,0.0015453252729735122,193.03401354531616,-0.041331097487735613,0.0015210708295747848,3.8968828164343001e-14,0.36137541541831902,8.8407629609194596e-05,2.4627390455328299e-08,3.2918112680135898e-14,0.36332028784383602,8.8132720222722501e-05,2.31087723941239e-08,389.11272404202998,
T20230515193100,2023-05-15 19:31:30.547,CLT-00001T02,4,A3104,Mine_B_release_POR_inline_iclt_A3104_23050153.exe,GTSAA1BKD5E05A,LG5D1650008PVR31040+L1AE02407+0,0x0000005F8E52C59A,LG5D1650008PVR31040+L1AE02407+0,86,86,42.293999999999997,39.927999999999997,179.90466951538599,188.62808086170199,137.56640942566591,-0.051328312298624307,0.0015481500324359735,181.6343560236717,-0.045040082606740001,0.0015999054260837583,2.8477220581635303e-14,0.34992743444042801,8.4229044503336003e-05,2.5165644586384899e-08,-6.9361183463456705e-14,0.36617895200273698,9.0138388804005494e-05,2.4292108584066399e-08,384.74263824189001,
T20230515192234,2023-05-15 19:23:04.407,CLT-00001T04,8,A3104,Mine_B_release_POR_inline_iclt_A3104_23050153.exe,GTSAA1BKD5E05A,LG5D1650008UVR31040+L1AE02412+0,0x000000569E528596,LG5D1650008UVR31040+L1AE02412+0,75,81,47.454999999999998,42.293999999999997,180.54545347633601,183.62367865380099,104.13286426902221,-0.0152609913805416,0.0016024808263290756,233.39547770986181,0.043310845571681716,0.0014674546278249769,8.9844798267790806e-14,0.36434769473996198,9.0519887795084401e-05,2.6503642110966701e-08,6.1506355564233698e-14,0.37052771124600797,9.1200937869552901e-05,2.4478627702558102e-08,385.53257705197097,
T20230515193009,2023-05-15 19:30:39.479,CLT-00001T04,8,A3104,Mine_B_release_POR_inline_iclt_A3104_23050153.exe,GTSAA1BKD5E05A,LG5D1650008ZVR31040+L1AE02417+0,0x0000005FAE56859E,LG5D1650008ZVR31040+L1AE02417+0,83,85,44.799999999999997,39.927999999999997,178.854905081944,184.43743235363701,114.72565512262173,-0.16412932693968185,0.0015840605100364725,170.60601873129696,-0.12574585289969489,0.0015839807313562959,2.79221090693227e-14,0.34844322141075501,8.3094018121155293e-05,2.3673783841251399e-08,1.1121659149182501e-13,0.37277639199363,9.28354620331631e-05,2.50264048151429e-08,385.49903652145099,
T20230515191529,2023-05-15 19:15:59.110,CLT-00001T03,6,A3104,Mine_B_release_POR_inline_iclt_A3104_23050153.exe,GTSAA1BKD5E05A,LG5D16500090VR31040+L1AE02418+0,0x0000005F8E568596,LG5D16500090VR31040+L1AE02418+0,84,83,42.293999999999997,42.293999999999997,178.235040297431,189.41033742947701,87.642201158927548,-0.21040397213275108,0.0016542385833430609,208.03811516521435,-0.071314838525229102,0.001656227378415405,-7.6078032762438902e-14,0.36755936058562,8.9471199335062695e-05,2.4293072829074801e-08,-1.2417844530432401e-13,0.362899476319341,8.7169265387256704e-05,2.3519560060429799e-08,385.48176007757098,
T20230515192139,2023-05-15 19:22:08.909,CLT-00001T03,6,A3104,Mine_B_release_POR_inline_iclt_A3104_23050153.exe,GTSAA1BKD5E05A,LG5D16500094VR31040+L1AE02422+0,0x00000056BE568592,LG5D16500094VR31040+L1AE02422+0,82,80,44.799999999999997,42.293999999999997,179.513485432061,183.08906316832699,150.33565332320541,-0.13835668340600374,0.0015247504140118906,192.93698108040064,-0.045478524223066363,0.0015531052836187539,-2.7000623958883802e-13,0.35117445789373802,8.30266338855969e-05,2.3394240846450001e-08,1.0302869668521499e-13,0.37637012465127601,9.4116334852236994e-05,2.6031183762335299e-08,386.26919671369001,
T20230515192140,2023-05-15 19:22:10.507,CLT-00001T01,1,A3104,Mine_A_release_POR_inline_iclt_A3104_23050153.exe,GTSAA1BKD5E05A,LG5D16500095VR31040+L1AE02423+0,0x0000005FAE528592,LG5D16500095VR31040+L1AE02423+0,81,81,44.799999999999997,42.293999999999997,172.923785011999,185.32048607246,154.57172560418761,0.00046631240584435463,0.0015158229182136572,197.37379108689802,0.0018334301974441136,0.0014975502624578457,5.8009153036664398e-15,0.358831238122443,8.6623633250018897e-05,2.4502391248015402e-08,-3.7081449022480197e-14,0.37312609980334399,9.2616845216561693e-05,2.51215673384535e-08,386.16752645300397,
T20230515190929,2023-05-15 19:09:59.202,CLT-00001T02,3,A3104,Mine_A_release_POR_inline_iclt_A3104_23050153.exe,GTSAA1BKD5E05A,LG5D16500096VR31040+L1AE02424+0,0x000000569E52859A,LG5D16500096VR31040+L1AE02424+0,84,77,44.799999999999997,44.799999999999997,183.935479918461,187.119004960289,72.331364777012539,-0.10516710296946188,0.0016794322586683747,162.06001150715383,-0.017508579755781267,0.0015413397738526717,3.6609604237014499e-14,0.345701040247053,8.1099574016544303e-05,2.2889100415596199e-08,-1.6930901125533599e-14,0.36948820705764401,9.0042306305650104e-05,2.3416764810854699e-08,388.89574825060998,
T20230515192017,2023-05-15 19:20:47.080,CLT-00001T03,6,A3104,Mine_B_release_POR_inline_iclt_A3104_23050153.exe,GTSAA1BKD5E05A,LG5D16500097VR31040+L1AE02425+0,0x0000005E8E56C592,LG5D16500097VR31040+L1AE02425+0,81,78,47.454999999999998,44.799999999999997,190.167378442293,189.47283888592099,144.46499067963774,-0.19536539522345497,0.0016387154912956016,205.86185772685639,-0.047629394885685933,0.0016244501928988353,1.5928924845809401e-13,0.33818836551359399,7.8876733392363896e-05,2.2459970479502298e-08,-4.49917880729345e-14,0.36262927202788597,8.7533572072051301e-05,2.2877685158942599e-08,387.41546202633401,
T20230515195020,2023-05-15 19:50:50.576,CLT-00001T03,6,A3104,Mine_B_release_POR_inline_iclt_A3104_23050153.exe,GTSAA1BKD5E03A,LG5D165000AGVR31040+L1AE00504+0,0x0000005E9E528596,LG5D165000AGVR31040+L1AE00504+0,82,83,44.799999999999997,42.293999999999997,174.023304089276,192.03252224991201,192.10009950283143,0.032291635694907866,0.0015689507952062016,208.31454942879589,0.032074157749860249,0.0015750872400663164,1.4233059175694499e-13,0.34639893805063798,8.3788712795090697e-05,2.5149885673144399e-08,2.7755575615628901e-17,0.35668140108869201,8.7441874995945198e-05,2.63094645837707e-08,382.73535253268,
T20230515184603,2023-05-15 18:46:33.519,CLT-00001T02,4,A3104,Mine_B_release_POR_inline_iclt_A3104_23050153.exe,GTSAA1BKD5E04A,LG5D165000JZVR31040+L1AE03605+0,0x0000009A9F16D196,LG5D165000JZVR31040+L1AE03605+0,85,82,42.293999999999997,42.293999999999997,172.39194551642299,189.07396491703599,137.71234007469707,-0.15810272761745997,0.0014947875231951511,238.52512645522148,-0.087895281470216274,0.0014663721195982498,-9.6866958898544892e-15,0.35697301826025202,8.6446146999637904e-05,2.52136413824045e-08,8.6319840164605896e-14,0.36567101143626501,8.9385803222365802e-05,2.4719560665292801e-08,372.231836907895,
T20230515185152,2023-05-15 18:52:21.706,CLT-00001T04,7,A3104,Mine_A_release_POR_inline_iclt_A3104_23050153.exe,GTSAA1BKD5E04A,LG5D165000K1VR31040+L1AE03607+0,0x000000928F12919E,LG5D165000K1VR31040+L1AE03607+0,86,82,42.293999999999997,42.293999999999997,184.60564977851499,190.703456829175,78.291359827829936,-0.29190465726032466,0.0016045814135112356,165.12890444222009,-0.13207344912764371,0.0014969296191062824,-8.8817841970012507e-15,0.35161319846788602,8.5119580183272894e-05,2.58910564465644e-08,1.6267542868320101e-13,0.36687019701215701,8.9478013598708503e-05,2.3082132267112102e-08,376.93080977310802,
T20230515184248,2023-05-15 18:43:18.141,CLT-00001T03,5,A3104,Mine_A_release_POR_inline_iclt_A3104_23050153.exe,GTSAA1BKD5E04A,LG5D165000KAVR31040+L1AE03616+0,0x000000939F16919A,LG5D165000KAVR31040+L1AE03616+0,85,81,42.293999999999997,42.293999999999997,185.837577275028,188.66030873300599,52.695783982149791,-0.46094967767160228,0.0016208635204877683,196.00828911084818,-0.097756092788362614,0.0014573240922145638,1.56596957623378e-13,0.35825164094921802,8.7086214152149694e-05,2.37544688818053e-08,-4.1827652452752798e-14,0.37350523788837697,9.3235521903527798e-05,2.5638198223132402e-08,379.86618343638901,
T20230515184218,2023-05-15 18:42:48.021,CLT-00001T01,1,A3104,Mine_A_release_POR_inline_iclt_A3104_23050153.exe,GTSAA1BKD5E04A,LG5D165000KEVR31040+L1AE03620+0,0x000000938F12D192,LG5D165000KEVR31040+L1AE03620+0,84,83,44.799999999999997,42.293999999999997,183.88114810133101,195.08152124800199,79.998622505924089,-0.15902941956185612,0.0017104495780259376,185.04223316397406,-0.24831028267641969,0.001508315347231321,-1.45966572162592e-13,0.33813253229346402,7.9115771970148196e-05,2.2866756550650601e-08,-2.2731816429200099e-14,0.36034560324931802,8.9764801569275896e-05,2.5973029410667801e-08,381.50865936274499,
T20230515184417,2023-05-15 18:44:47.040,CLT-00001T03,6,A3104,Mine_B_release_POR_inline_iclt_A3104_23050153.exe,GTSAA1BKD5E04A,LG5D165000KQVR31040+L1AE03630+0,0x00000092AF12D19A,LG5D165000KQVR31040+L1AE03630+0,85,82,42.293999999999997,42.293999999999997,172.36696468558301,191.26898074331001,88.349847147639863,-0.27955603189134093,0.001624945324231371,186.14536968885898,-0.1958538980072394,0.0015288181730282529,-1.2906342661267401e-14,0.35765984770815201,8.6925367577399005e-05,2.5789479168824599e-08,9.2703622556200603e-15,0.36887295664401898,9.0867379259540205e-05,2.5928179280489101e-08,384.24605967318598,
T20230515185414,2023-05-15 18:54:43.722,CLT-00001T03,5,A3104,Mine_A_release_POR_inline_iclt_A3104_23050153.exe,GTSAA1BKD5E04A,LG5D165000L1VR31040+L1AE02609+0,0x000000D29646859A,LG5D165000L1VR31040+L1AE02609+0,79,80,47.454999999999998,44.799999999999997,187.90626601362601,193.84587366838201,88.716175866520757,-0.21452867441764328,0.0016749884722433986,260.34533215777844,-0.11132029354178075,0.0014823520001551603,4.3298697960381099e-14,0.34283793329623802,7.9945774688275302e-05,2.2618789683021499e-08,-1.5093482019779001e-13,0.35373376575348803,8.2422253241503307e-05,2.06246793122314e-08,383.98085463358899,
