ActuatorSN,aps_strokeMax_um,sph_S2_OOVreg,sph_S2_gain,sph_S1_OOVreg,sph_S1_gain,sph_strokecenter_x_sensor_offset_lsb,OISX_pos_polynomial_cubic_offsetcorrected_C0,OISX_pos_polynomial_cubic_offsetcorrected_C1,OISX_pos_polynomial_cubic_offsetcorrected_C2,OISX_pos_polynomial_cubic_offsetcorrected_C3,sph_strokecenter_y_sensor_offset_lsb,OISY_pos_polynomial_cubic_offsetcorrected_C0,OISY_pos_polynomial_cubic_offsetcorrected_C1,OISY_pos_polynomial_cubic_offsetcorrected_C2,OISY_pos_polynomial_cubic_offsetcorrected_C3,AF_single_vcm_S1_AF_c0,AF_single_vcm_S1_AF_c1,AF_single_vcm_S1_AF_c2,AF_single_vcm_S2_AF_c0,AF_single_vcm_S2_AF_c1,AF_single_vcm_S2_AF_c2
UC4D263001NS00A5002+01AA04910+5,387.67534,83,42.294,89,39.928,180.1760669,1.74E-14,0.360091483,8.75E-05,2.74E-08,182.7087737,-7.52E-15,0.360865211,8.86E-05,2.76E-08,162.6233887,-0.165200068,0.001633722,177.5676124,-0.086808567,0.001663275
UC4D263001NW00A5002+01AA04914+5,377.58929,77,44.8,86,42.294,178.2190517,-2.03E-14,0.36336018,9.18E-05,2.86E-08,199.0125566,1.25E-15,0.349680068,8.83E-05,2.67E-08,144.8339611,-0.076543781,0.001729396,143.0054265,0.020828697,0.001683024
UC4D263001TC00A5002+01AA09106+5,381.755335,79,44.8,83,42.294,182.1036417,-1.42E-14,0.360575515,8.86E-05,2.43E-08,177.5343455,-6.80E-15,0.364194888,9.17E-05,2.73E-08,135.2822318,-0.178948228,0.001625261,176.2838096,-0.146756612,0.00166762
UC4D263001TM00A5002+01AA09115+5,369.53566,81,42.294,85,42.294,171.2047914,7.69E-15,0.369314261,9.18E-05,2.84E-08,183.6488976,-1.94E-14,0.354854766,8.49E-05,2.75E-08,151.3976768,-0.111206666,0.001613917,104.3977838,-0.142653913,0.001680166
UC4D263001TY00A5002+01AA09126+5,386.307545,76,44.8,79,44.8,180.7673673,-9.44E-15,0.374547763,9.53E-05,2.71E-08,188.8376021,-1.85E-14,0.359347887,8.87E-05,2.71E-08,196.7298252,-0.306082548,0.00161784,182.7876614,-0.160126287,0.001636484
UC4D263001UB00A5002+01AA10607+5,373.64938,82,42.294,86,39.928,182.6058091,-1.65E-14,0.366191631,9.23E-05,2.77E-08,191.8405513,-1.16E-14,0.374408654,0.000101254,3.30E-08,157.1692383,-0.289286943,0.001511163,226.3646113,-0.242273488,0.001556074
UC4D263001UQ00A5002+01AA10620+5,373.9658,80,42.294,86,42.294,180.9780158,-5.63E-15,0.374734258,9.48E-05,2.67E-08,195.3027939,-4.72E-15,0.351051189,8.54E-05,2.59E-08,143.0770654,-0.161637413,0.001713549,160.5583896,-0.228511528,0.001619167
UC4D263001UZ00A5002+01AA10629+5,380.04161,78,44.8,86,42.294,183.5766036,1.11E-14,0.361363946,8.93E-05,2.51E-08,176.9812187,-5.83E-15,0.350966754,8.41E-05,2.42E-08,140.7329066,-0.027352613,0.001674052,146.8022403,-0.128451855,0.001701835
UC4D263001VN00A5002+01AA02420+5,381.052035,81,42.294,89,42.294,161.9477691,-1.31E-14,0.370442901,9.13E-05,2.48E-08,185.129025,-9.52E-15,0.339744435,7.79E-05,2.26E-08,65.56755009,-0.085585977,0.001875459,171.1450811,-0.133251623,0.001615143
UC4D263001WN00A5002+01AA02222+5,379.50848,74,47.455,80,44.8,187.2593551,-6.44E-15,0.362389257,8.86E-05,2.37E-08,181.0486107,1.80E-14,0.359858559,8.80E-05,2.54E-08,142.7350206,-0.101223911,0.001641692,166.0864991,-0.180736132,0.001675641
UC4D263001WR00A5002+01AA02225+5,384.14298,79,42.294,83,42.294,176.201433,7.05E-15,0.381327706,9.80E-05,2.87E-08,183.8612477,-5.55E-17,0.366218839,9.14E-05,2.90E-08,76.43640676,-0.185511725,0.001697026,206.5836021,-0.189538961,0.001591652
UC4D263001X600A5002+01AA04608+5,381.617925,82,42.294,86,42.294,181.9077104,-3.94E-15,0.366785553,9.12E-05,2.60E-08,194.0829725,-4.11E-15,0.35213599,8.46E-05,2.48E-08,170.6630678,-0.294638036,0.001641973,150.8199095,-0.183141624,0.001671775
UC4D263001ZV00A5002+01AA06703+5,378.674075,73,47.455,84,42.294,176.139811,-2.19E-15,0.360804335,9.07E-05,2.84E-08,191.8633534,-3.33E-16,0.358614869,9.31E-05,3.01E-08,100.6861303,-0.174109975,0.001688236,127.4980283,-0.024017321,0.001727397
UC4D2630020200A5002+01AA06710+5,375.686025,76,44.8,86,42.294,179.2157295,1.24E-14,0.373930582,9.41E-05,2.75E-08,181.7316652,-2.86E-15,0.352368393,8.30E-05,2.50E-08,138.8546779,-0.034350385,0.001714051,164.7879216,-0.064233074,0.001569181
UC4D2630020300A5002+01AA06711+5,373.5446,79,44.8,80,44.8,181.1510569,9.35E-15,0.355703566,8.82E-05,2.57E-08,186.3144577,-2.27E-14,0.352456588,8.84E-05,2.65E-08,126.6550718,-0.13753364,0.001643542,174.5670827,0.007355911,0.001636814
UC4D2630020400A5002+01AA06712+5,374.258105,82,42.294,80,44.8,178.6260902,-5.05E-15,0.368468862,9.15E-05,2.58E-08,187.0449281,-1.89E-14,0.358548427,8.58E-05,2.42E-08,146.4631362,-0.220544628,0.001700423,159.2615045,-0.062810316,0.001620103
UC4D2630020700A5002+01AA06715+5,376.06829,81,42.294,87,42.294,171.2940848,1.36E-14,0.364195456,9.09E-05,2.71E-08,194.2068431,-2.25E-15,0.346354366,8.64E-05,2.64E-08,143.3683384,-0.234187953,0.001707771,190.4116568,0.017810566,0.001612391
UC4D2630020900A5002+01AA06717+5,377.646555,78,44.8,85,42.294,183.9582658,1.52E-14,0.368393973,9.00E-05,2.48E-08,176.2092449,-2.36E-15,0.356394256,8.46E-05,2.46E-08,147.3609058,0.114165821,0.001708875,171.74827,-0.067358967,0.001670281
