ActuatorSN,AF_single_vcm_S1_AF_c0,AF_single_vcm_S1_AF_c1,AF_single_vcm_S1_AF_c2,AF_single_vcm_S2_AF_c0,AF_single_vcm_S2_AF_c1,AF_single_vcm_S2_AF_c2,aps_strokeMax_um,OISX_pos_polynomial_cubic_offsetcorrected_C0,OISX_pos_polynomial_cubic_offsetcorrected_C1,OISX_pos_polynomial_cubic_offsetcorrected_C2,OISX_pos_polynomial_cubic_offsetcorrected_C3,OISY_pos_polynomial_cubic_offsetcorrected_C0,OISY_pos_polynomial_cubic_offsetcorrected_C1,OISY_pos_polynomial_cubic_offsetcorrected_C2,OISY_pos_polynomial_cubic_offsetcorrected_C3,sph_S1_gain,sph_S1_OOVreg,sph_S2_gain,sph_S2_OOVreg,sph_strokecenter_x_sensor_offset_lsb,sph_strokecenter_y_sensor_offset_lsb
UC4D2620024U00A5002+01AA01912+5,179.427595,-0.281237468,0.001648232,102.3146149,-0.214047635,0.001729646,376.727975,1.39E-14,0.365147032,8.95E-05,2.55E-08,-4.22E-15,0.348101728,8.27E-05,2.41E-08,42.294,86,42.294,82,191.4437322,180.4819154
UC4D262001TU00A5002+01AA07422+5,98.31866729,-0.121983503,0.001740589,188.5621712,-0.001219235,0.001678193,378.51632,-1.58E-14,0.357194768,8.71E-05,2.50E-08,-1.42E-14,0.345245053,8.12E-05,2.55E-08,42.294,87,44.8,79,190.1280205,172.6809598
UC4D2620024W00A5002+01AA01914+5,162.6857777,-0.229510692,0.001605885,141.0832033,-0.18125343,0.001649727,378.246375,-4.69E-15,0.372374054,9.61E-05,2.94E-08,-2.07E-14,0.362349306,9.28E-05,2.91E-08,39.928,88,39.928,84,178.845224,176.0422327
UC4D262001HY00A5002+01AA08406+5,131.6514511,-0.045953844,0.001760634,196.0374699,-0.03492734,0.001646411,377.566605,-2.03E-14,0.353842108,8.52E-05,2.46E-08,1.57E-14,0.345765198,8.58E-05,2.67E-08,42.294,87,42.294,84,184.7527901,181.1934622
UC4D262001WS00A5002+01AA04026+5,199.288659,-0.143613065,0.001609366,99.03612921,-0.153344157,0.001701315,380.367325,-6.23E-15,0.371297122,8.90E-05,2.12E-08,1.86E-15,0.357617522,8.78E-05,2.65E-08,42.294,85,44.8,77,173.1497686,177.9120451
UC4D262001WT00A5002+01AA04027+5,147.1353673,-0.211028305,0.001716177,117.9190896,-0.231473348,0.001803826,376.008815,-1.02E-14,0.350922013,8.32E-05,2.22E-08,-7.22E-16,0.341263917,7.99E-05,2.30E-08,44.8,83,44.8,81,190.9117482,182.9817087
UC4D262000Z600A5002+01AA05008+5,151.288516,-0.167018924,0.001705151,174.2299218,0.016984921,0.001636685,382.253885,1.46E-14,0.35482571,8.57E-05,2.69E-08,-6.83E-15,0.340763868,8.01E-05,2.28E-08,47.455,79,44.8,79,190.4902989,189.504639
UC4D262001WA00A5002+01AA04010+5,162.3217345,-0.304445935,0.001640111,166.893349,-0.181063331,0.001648324,377.084825,-3.05E-16,0.36401938,8.94E-05,2.57E-08,-2.11E-14,0.351233141,8.54E-05,2.58E-08,39.928,92,42.294,83,184.2691351,183.6437202
UC4D262001WC00A5002+01AA04012+5,157.4042681,-0.219997694,0.001667848,77.49744577,-0.047633864,0.001711069,376.87832,-7.69E-15,0.364500512,9.09E-05,2.75E-08,5.16E-15,0.353918058,8.89E-05,2.69E-08,42.294,85,42.294,82,184.24907,174.3962173
UC4D2620024S00A5002+01AA01910+5,208.5051399,-0.258141542,0.001602638,156.7914751,-0.169587401,0.001730473,375.339575,1.33E-15,0.355049972,8.12E-05,1.99E-08,-4.64E-15,0.341745447,8.06E-05,2.40E-08,42.294,89,42.294,85,187.0493034,186.0705682
