GlobalTime,time,station,site,moduleConfig,SWversion,lotNum,Barcode,UniqueID,ActuatorSN,sph_S1_OOVreg,sph_S2_OOVreg,sph_S1_gain,sph_S2_gain,sph_strokecenter_y_sensor_offset_lsb,sph_strokecenter_x_sensor_offset_lsb,AF_single_vcm_S1_AF_c0,AF_single_vcm_S1_AF_c1,AF_single_vcm_S1_AF_c2,AF_single_vcm_S2_AF_c0,AF_single_vcm_S2_AF_c1,AF_single_vcm_S2_AF_c2,OISY_pos_polynomial_cubic_offsetcorrected_C0,OISY_pos_polynomial_cubic_offsetcorrected_C1,OISY_pos_polynomial_cubic_offsetcorrected_C2,OISY_pos_polynomial_cubic_offsetcorrected_C3,OISX_pos_polynomial_cubic_offsetcorrected_C0,OISX_pos_polynomial_cubic_offsetcorrected_C1,OISX_pos_polynomial_cubic_offsetcorrected_C2,OISX_pos_polynomial_cubic_offsetcorrected_C3,aps_strokeMax_um
T20230603134245,43:15.7,CLT-00001T02,4,A3106,Mine_B_release_POR_inline_iclt_A3106_23051851.exe,GTSAA1BAD6219A,LG5D18300GD1VR31060+L2AA03227+0,0x00000058B6C68795,LG5D18300GD1VR31060+L2AA03227+0,78,82,47.455,42.294,179.9649707,195.7566148,191.8886664,-0.15115046,0.001603405,153.4320716,-0.12313527,0.001600467,9.95E-14,0.345129932,8.04E-05,2.32E-08,6.11E-15,0.366734198,8.98E-05,2.45E-08,360.1698367
T20230603134248,43:18.4,CLT-00001T04,7,A3106,Mine_A_release_POR_inline_iclt_A3106_23051851.exe,GTSAA1BAD6219A,LG5D18300MAEVR31060+L2AA01122+0,0x000000B49AD53315,LG5D18300MAEVR31060+L2AA01122+0,88,83,42.294,39.928,185.507434,185.2030817,125.1877722,-0.046683125,0.00170447,158.7493743,0.097382045,0.001523504,-3.05E-15,0.345389883,8.05E-05,2.15E-08,1.56E-13,0.384983734,9.94E-05,2.77E-08,356.9915912
T20230603134252,43:23.4,CLT-00001T04,8,A3106,Mine_B_release_POR_inline_iclt_A3106_23051851.exe,GTSAA1BAD6219A,LG5D184003DKVR31060+L2AA06325+0,0x000000B8BAC56311,LG5D184003DKVR31060+L2AA06325+0,84,86,44.8,39.928,186.9302912,190.2849142,151.3671153,-0.166697154,0.001654437,141.8936922,-0.180508158,0.001626698,7.49E-14,0.340602056,7.74E-05,2.12E-08,-1.56E-13,0.373404499,9.20E-05,2.45E-08,371.0965733
T20230603134309,43:40.1,CLT-00001T01,1,A3106,Mine_A_release_POR_inline_iclt_A3106_23051851.exe,GTSAA1BAD6219A,LG5D1860014JVR31060+L2AA11230+0,0x000000D38AC06499,LG5D1860014JVR31060+L2AA11230+0,89,85,42.294,39.928,185.7098029,195.6494243,144.1543902,0.091027286,0.001689522,85.31433986,0.012504599,0.001652806,-3.29E-14,0.338347318,7.85E-05,2.12E-08,2.51E-13,0.372140257,9.55E-05,2.70E-08,350.8407704
T20230603134314,43:45.1,CLT-00001T01,2,A3106,Mine_B_release_POR_inline_iclt_A3106_23051851.exe,GTSAA1BAD6219A,LG5D18300MCQVR31060+L2AA00404+0,0x00000018B2D52315,LG5D18300MCQVR31060+L2AA00404+0,94,82,37.695,42.294,175.2202668,194.0496262,194.3853114,-0.243661303,0.001499861,54.32867872,-0.185908988,0.001699013,-2.70E-14,0.358008882,8.74E-05,2.41E-08,7.05E-14,0.36501088,8.88E-05,2.45E-08,366.3167546
T20230603134322,43:52.8,CLT-00001T02,3,A3106,Mine_A_release_POR_inline_iclt_A3106_23051851.exe,GTSAA1BAD6219A,LG5D18300MCSVR31060+L2AA00406+0,0x0000001992D5631D,LG5D18300MCSVR31060+L2AA00406+0,91,83,39.928,39.928,180.8629757,185.7539445,164.4157768,-0.083673824,0.00160459,89.96134801,-0.111457479,0.001593041,-6.71E-14,0.349881413,8.30E-05,2.41E-08,4.58E-14,0.385196622,9.75E-05,2.70E-08,360.1725867
T20230603134322,43:53.1,CLT-00001T03,5,A3106,Mine_A_release_POR_inline_iclt_A3106_23051851.exe,GTSAA1BAD6219A,LG5D184002WUVR31060+L2AA02832+0,0x000000948AD50715,LG5D184002WUVR31060+L2AA02832+0,91,85,39.928,39.928,189.2655655,188.434309,161.1895617,-0.01955936,0.001616054,181.8010132,-0.071120245,0.001552217,1.29E-13,0.349400012,8.49E-05,2.58E-08,7.57E-14,0.37691967,9.52E-05,2.60E-08,364.2618382
T20230603134327,43:57.6,CLT-00001T02,4,A3106,Mine_B_release_POR_inline_iclt_A3106_23051851.exe,GTSAA1BAD6219A,LG5D184003DNVR31060+L2AA06328+0,0x00000011B2D13715,LG5D184003DNVR31060+L2AA06328+0,91,86,39.928,39.928,184.4867992,198.1727969,161.9229656,-0.098901577,0.001659903,162.4636411,-0.174208426,0.001605588,1.88E-13,0.348822667,8.41E-05,2.42E-08,-1.58E-13,0.369194758,9.15E-05,2.49E-08,361.8173053
T20230603134327,43:58.1,CLT-00001T03,6,A3106,Mine_B_release_POR_inline_iclt_A3106_23051851.exe,GTSAA1BAD6219A,LG5D18600297VR31060+L2AA00501+0,0x00000034AAD11319,LG5D18600297VR31060+L2AA00501+0,93,85,39.928,39.928,184.3106416,199.3334524,187.3943433,-0.206726152,0.001611572,140.7432691,-0.208998534,0.001607622,-6.78E-14,0.338053819,7.84E-05,2.35E-08,1.01E-14,0.371775836,9.33E-05,2.63E-08,370.97857
T20230603134335,44:06.0,CLT-00001T04,8,A3106,Mine_B_release_POR_inline_iclt_A3106_23051851.exe,GTSAA1BAD6219A,LG5D18300MAAVR31060+L2AA01118+0,0x000000BDAAD57319,LG5D18300MAAVR31060+L2AA01118+0,88,84,42.294,39.928,188.9544578,190.240076,209.1361799,-0.288992613,0.001590819,124.5186339,-0.205540867,0.001600623,-8.80E-14,0.341923904,8.09E-05,2.40E-08,-7.96E-14,0.380900787,9.67E-05,2.65E-08,359.493664
T20230603134356,44:26.9,CLT-00001T01,2,A3106,Mine_B_release_POR_inline_iclt_A3106_23051851.exe,GTSAA1BAD6219A,LG5D18300MD7VR31060+L2AA00421+0,0x00000018A2D56311,LG5D18300MD7VR31060+L2AA00421+0,92,86,39.928,39.928,184.7371855,195.9698214,158.4549547,-0.132980829,0.001647077,140.5585573,0.031861333,0.00160801,3.57E-14,0.343520369,8.02E-05,2.14E-08,2.01E-14,0.365016817,9.20E-05,2.54E-08,360.2084217
T20230603134404,44:34.6,CLT-00001T02,3,A3106,Mine_A_release_POR_inline_iclt_A3106_23051851.exe,GTSAA1BAD6219A,LG5D18300GGNVR31060+L2AA06222+0,0x000000D5BED69799,LG5D18300GGNVR31060+L2AA06222+0,85,81,42.294,42.294,182.5007607,192.7249446,144.7939243,-0.107865756,0.001673632,102.0395394,-0.232819593,0.001642025,-2.14E-14,0.353713082,8.49E-05,2.49E-08,7.59E-14,0.371781955,9.22E-05,2.48E-08,357.7320133
T20230603134405,44:35.8,CLT-00001T03,5,A3106,Mine_A_release_POR_inline_iclt_A3106_23051851.exe,GTSAA1BAD6219A,LG5D18300GHLVR31060+L2AA06822+0,0x000000D4AED6D795,LG5D18300GHLVR31060+L2AA06822+0,92,78,39.928,44.8,184.3320699,200.9614729,146.7980778,0.042989313,0.001630482,190.157893,-0.050437623,0.001601517,1.53E-13,0.349972364,8.33E-05,2.29E-08,-1.52E-13,0.36514747,8.97E-05,2.51E-08,362.4907076
T20230603134408,44:39.0,CLT-00001T02,4,A3106,Mine_B_release_POR_inline_iclt_A3106_23051851.exe,GTSAA1BAD6219A,LG5D1860014CVR31060+L2AA11224+0,0x000000D28AC06491,LG5D1860014CVR31060+L2AA11224+0,89,83,42.294,42.294,192.1470763,195.1747917,161.0357962,0.067540633,0.001680844,143.4807432,-0.011567128,0.001632509,-1.13E-13,0.33883574,7.92E-05,2.22E-08,-1.13E-14,0.361972614,8.74E-05,2.25E-08,354.4694564
T20230603134410,44:40.7,CLT-00001T03,6,A3106,Mine_B_release_POR_inline_iclt_A3106_23051851.exe,GTSAA1BAD6219A,LG5D18300GAUVR31060+L2AA07916+0,0x000000F9AEC6E795,LG5D18300GAUVR31060+L2AA07916+0,91,80,39.928,42.294,181.5646028,186.4646099,162.921948,-0.103260876,0.001618796,124.4752956,-0.126858497,0.00159934,-1.17E-13,0.349350051,8.54E-05,2.58E-08,-1.04E-13,0.371298834,9.44E-05,2.75E-08,360.8775525
T20230603134413,44:43.4,CLT-00001T04,7,A3106,Mine_A_release_POR_inline_iclt_A3106_23051851.exe,GTSAA1BAD6219A,LG5D18300GHEVR31060+L2AA06816+0,0x000000DCAED2D799,LG5D18300GHEVR31060+L2AA06816+0,89,82,42.294,42.294,191.7365004,198.3243443,181.5402197,-0.025361636,0.001711612,180.57482,-0.049027139,0.00164489,1.16E-13,0.341136033,8.01E-05,2.33E-08,-1.09E-13,0.36774929,9.10E-05,2.47E-08,361.0064866
T20230603134418,44:48.6,CLT-00001T04,8,A3106,Mine_B_release_POR_inline_iclt_A3106_23051851.exe,GTSAA1BAD6219A,LG5D186004Q6VR31060+L2AA01406+0,0x00000030B2C54719,LG5D186004Q6VR31060+L2AA01406+0,98,86,37.695,39.928,188.8500534,192.1268553,163.6852156,-0.108690498,0.001696347,188.1561606,-0.066672488,0.001606326,-1.04E-13,0.343498953,8.15E-05,2.46E-08,9.71E-14,0.371102416,9.20E-05,2.47E-08,362.5184066
T20230603134436,45:07.0,CLT-00001T01,1,A3106,Mine_A_release_POR_inline_iclt_A3106_23051851.exe,GTSAA1BAD6219A,LG5D186004Q5VR31060+L2AA01405+0,0x0000003992C54719,LG5D186004Q5VR31060+L2AA01405+0,104,84,35.586,39.928,181.6507481,192.6260087,179.1325269,-0.137958477,0.001670866,179.0719628,-0.013999958,0.001548012,8.80E-15,0.339905669,7.80E-05,2.30E-08,1.62E-13,0.378264635,9.65E-05,2.78E-08,364.8404433
T20230603134441,45:11.8,CLT-00001T01,2,A3106,Mine_B_release_POR_inline_iclt_A3106_23051851.exe,GTSAA1BAD6219A,LG5D186004QSVR31060+L2AA01426+0,0x0000003CA2D16719,LG5D186004QSVR31060+L2AA01426+0,87,87,42.294,39.928,185.9997728,196.7013437,147.9911553,-0.3015297,0.001627454,160.3971926,-0.117259302,0.001603958,5.06E-14,0.345894145,8.27E-05,2.51E-08,-7.51E-14,0.365221911,8.87E-05,2.44E-08,357.2436432
